benchmark_run_id,chunking_method,embedding_model,vector_database,index_type,retrieval_method,reranking_model,query_id,query,chunk_count,top_k,retrieved_ids,retrieved_scores,hit_at_1,hit_at_3,hit_at_5,hit_at_10,search_latency_ms,rerank_latency_ms,mode,notes
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,1,customer has multi pnr and received voucher email only for one pnr,214,10,163|160|75|124|29|195|159|32|198|162,0.3264|0.2945|0.2583|0.2491|0.2481|0.2481|0.2345|0.1567|0.1567|0.1455,1,1,1,1,22.4982,0.5234,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,2,what is the difference between open ticket and voucher,214,10,119|120|126|125|147|113|101|138|132|166,0.5028|0.4291|0.3922|0.3847|0.3488|0.3014|0.3004|0.2961|0.2910|0.2093,1,1,1,1,24.2404,0.5127,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,3,what is vi order,214,10,27|193|88|147|126|166|119|26|87|192,0.5869|0.5869|0.5764|0.3323|0.3281|0.3249|0.3127|0.3109|0.3109|0.3109,1,1,1,1,22.863,0.2674,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,4,how to display an old emd record,214,10,125|131|36|202|28|194|133|7|173|162,0.4530|0.2100|0.2057|0.2057|0.2029|0.2029|0.2022|0.1986|0.1986|0.1983,0,1,1,1,22.8987,0.3502,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,5,what is sc script - rir message for manual and auto handling in travelport,214,10,132|10|176|160|40|120|58|115|101|119,0.2948|0.2923|0.2923|0.2759|0.2713|0.2614|0.2319|0.2146|0.2133|0.1861,1,1,1,1,22.7699,0.6864,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,6,what are different scenarios for sc register errand flow,214,10,80|39|205|36|202|40|206|41|207|1,0.1629|0.1614|0.1614|0.1604|0.1604|0.1471|0.1471|0.1423|0.1423|0.1422,0,1,1,1,21.5482,0.3506,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,7,how to register errand templates for sc scenarios,214,10,36|202|39|205|43|209|28|194|45|211,0.3510|0.3510|0.2982|0.2982|0.2136|0.2136|0.2029|0.2029|0.2028|0.2028,1,1,1,1,22.2026,0.4236,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,8,how to handle tech alerts in schedule change,214,10,39|205|163|38|204|37|203|131|115|98,0.5701|0.5701|0.3920|0.3216|0.3216|0.3048|0.3048|0.3024|0.2952|0.2926,1,1,1,1,20.6967,0.3382,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,9,what should be done if the flight details do not match with the tech alert information,214,10,99|121|71|6|172|142|151|165|154|83,0.3413|0.2267|0.2204|0.2035|0.2035|0.1463|0.1440|0.1385|0.1204|0.1195,1,1,1,1,22.1421,0.5051,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,10,what should be indicated in the endorsement box if the tickets require reissue,214,10,121|165|99|83|109|71|98|111|5|171,0.3626|0.3364|0.2823|0.2736|0.2588|0.2242|0.1614|0.1524|0.1486|0.1486,0,1,1,1,23.1716,0.3973,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,11,what are airlines table (script) for invl reissue in gds systems,214,10,61|81|78|64|101|113|94|89|150|63,0.3997|0.3510|0.3258|0.2436|0.1840|0.1759|0.1755|0.1710|0.1670|0.0889,1,1,1,1,22.6257,0.4548,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,12,how to identify that the involuntary reissue was incorrect,214,10,165|43|209|7|173|45|211|124|28|194,0.3362|0.2356|0.2356|0.2281|0.2281|0.2245|0.2245|0.2209|0.2101|0.2101,1,1,1,1,23.6467,0.4119,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,13,how to request for involuntary full or partially refund,214,10,41|207|164|163|50|88|117|7|173|76,0.3649|0.3649|0.3638|0.2805|0.2192|0.2067|0.1817|0.1787|0.1787|0.1779,1,1,1,1,22.1004,0.8434,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,14,how to inform passenger about the received schedule change,214,10,38|204|39|205|103|108|37|203|117|7,0.4374|0.4374|0.4276|0.4276|0.3621|0.3491|0.2857|0.2857|0.2762|0.1770,1,1,1,1,21.5013,0.302,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,15,how to retrieve a pnr,214,10,163|162|164|137|133|124|125|153|7|173,0.6285|0.6065|0.6040|0.5757|0.4668|0.4552|0.4508|0.4432|0.2842|0.2842,1,1,1,1,23.3012,0.5222,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,16,how ryanair pnrs are sold through bingtrip,214,10,43|209|31|197|48|214|33|199|6|172,0.1556|0.1556|0.1538|0.1538|0.0467|0.0467|0.0405|0.0405|0.0393|0.0393,1,1,1,1,21.5231,0.3911,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,17,how many 2nd line support teams are there,214,10,40|206|106|71|70|64|160|5|171|46,0.1825|0.1825|0.1736|0.1621|0.1617|0.0724|0.0646|0.0636|0.0636|0.0600,0,1,1,1,23.3421,0.3686,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,18,"if ra is rejected, who should inform the customer accordingly",214,10,59|117|165|124|99|62|16|182|164|166,0.2491|0.2394|0.2333|0.2265|0.2251|0.2216|0.2205|0.2205|0.2196|0.1448,0,1,1,1,21.7852,0.3824,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,19,"if we have won a chargeback and the customer never contacts us for a refund, will the customer be refunded automatically",214,10,74|78|41|207|73|30|196|76|117|150,0.3482|0.3479|0.3386|0.3386|0.3266|0.2639|0.2639|0.2532|0.2454|0.2224,0,1,1,1,22.6256,0.4967,local_offline_fallback,Local deterministic embeddings/vector adapters used. Replace with provider adapters for production numbers.
