benchmark_run_id,chunker,embedding,vector_store,index_type,retrieval_method,retriever,reranker,evaluator,query_id,query,category,top_ids,top_scores,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,precision_at_5,latency_ms
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,1,Customer has Multi PNR and received Voucher email only for one PNR,voucher,5150|20558|13666|22515|18370|32804|32998|25405|25085|4986,0.9999|0.9759|0.8004|0.7971|0.7545|0.6989|0.6470|0.5948|0.5893|0.5603,1.0,1.0,1.0,1.0,1.0,0.8196683128314594,0.4,159.2329
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,2,What is the difference between Open Ticket and Voucher,voucher,5203|5151|4809|4854|4818|4813|4878|4776|4959|4884,0.9998|0.9968|0.9752|0.9594|0.9588|0.9522|0.9105|0.9051|0.7635|0.7566,1.0,1.0,1.0,1.0,1.0,0.9770153702993121,0.8,85.1533
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,3,How to display an old emd record,voucher,4369|4368|4372|4393|578|4370|4371|4362|4366|4380,0.9990|0.9986|0.9980|0.9930|0.9850|0.9831|0.9699|0.9687|0.9685|0.9514,1.0,1.0,1.0,1.0,1.0,0.9504206262110482,0.8,166.55
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,4,What is SC Script - RIR message for manual and auto handling in Travelport,pnr,4462|4474|4488|4478|4406|4513|4498|4483|4470|4439,0.9577|0.9459|0.9329|0.9266|0.8948|0.7539|0.6071|0.6071|0.6071|0.5764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.2199
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,5,How to Register errand templates for SC scenarios,general,11|18920|26028|25992|20565|33335|4901|23342|34459|15675,0.9971|0.8624|0.7640|0.7640|0.6144|0.4858|0.3015|0.2095|0.0877|0.0727,1.0,1.0,1.0,1.0,1.0,0.9937947856332163,1.0,62.6137
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,6,What are different scenarios for SC register errand flow,general,14|21278|21480|25901|35847|11957|26|20569|24195|35206,0.9900|0.9282|0.9282|0.7390|0.7112|0.5560|0.4029|0.3711|0.3464|0.3288,1.0,1.0,1.0,1.0,1.0,0.9782917460822231,0.8,167.942
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,7,How to handle Tech Alerts in Schedule change,pnr,16480|20020|16864|35414|19208|17660|17176|17172|4657|4671,0.6845|0.6592|0.6123|0.4544|0.2772|0.2772|0.2454|0.2454|0.1998|0.1803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.6582
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,8,What should be done if the flight details do not match with the tech alert information,pnr,4671|17795|4668|21432|32551|32501|21237|4669|32641|32759,0.9993|0.7971|0.6053|0.4103|0.3522|0.2357|0.1875|0.1003|0.0726|0.0663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,161.4177
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,9,What should be indicated in the endorsement box if the tickets require reissue,rebooking,4684|20407|8569|4422|8738|20034|18931|33847|20635|4964,0.9995|0.9179|0.9144|0.9002|0.8748|0.7930|0.7064|0.6475|0.3519|0.3413,1.0,1.0,1.0,1.0,1.0,0.9429942892150167,0.8,56.2666
mod_0001,entity_heuristic_w6,openai_text-embedding-3-large,Qdrant,HNSW,Cosine Similarity,Cosine Similarity,bge-reranker-base,overlap_relevance,10,What are Airlines table (Script) for Invl reissue in GDS systems,pnr,4694|4687|4716|4420|9598|4360|4363|4717|33795|9800,0.9940|0.9940|0.9839|0.3980|0.2476|0.1920|0.1458|0.1044|0.1025|0.0274,1.0,1.0,1.0,1.0,1.0,0.9770153702993121,0.8,163.5548
