query|answer
is it possible to change the date of birth or passport details from my portal|Frequently asked questions-<br>Question-If pax will insert date of birth or passport details, will they also be included there?,<br>Answer- This is on the wishlist. We are working on it. The scope is also the customer to be able to change these details from My Portal ,<br>Docs Ref: My Portal description
what is the process for rebooking|The paragraph provides information about how to perform a rebooking.<br>Docs Ref: Travelfusion - Air Canada AC Connex
what are the tips and tricks for letter changes|The paragraph provides information on how to make letter changes in certain Germanic languages. If you are asking about making changes in general, then the answer is not provided in the paragraph.<br>Docs Ref: Tips and Tricks
do you need to check the ticket rules if the refund is due to schedule change or force majeure|No, If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
rebook with manual calculation and atc|"Rebooking manual and ATC<br>Important info:<br>1) Check the fare rules of the ticket for rebooking conditions.<br>2) The Reissue can only be calculated/completed with Manual Calculation (no ATC).<br>3) The below steps can only be used if the ticket is completely unused.<br>Step by Step:<br>1) Add the new flights in the PNR by selecting or ""Direct Sell<br>2) Click on either Roundtrip or one way depending on type of rebooking.<br>Add the departure and arrival airport, rebooking date, and click on ""Air availability"":<br>3) Choose the same booking class if available, or if not available, the next available higher bookings class, (the fare can't be lower than original fare.) Click on the shopping cart to add the segments.<br>4) Now you need to price the new segments. Click on the added segment and click on price:<br>5) Make sure to choose the validating carrier of the original ticket.<br>Click on ""Selected brand fare"" and choose the same fare as the original ticket. Click continue and manually calculate the price difference.<br>5.1.a) FLX -- flex<br>5.1.b) CMF -- comfort flex<br>5.1.c) SVR -- saver<br>5.1.d) LGT -- light<br>Important! From May 31, 2023, Aegean Airlines has changed its rebooking policy. The rebooking fee depends on the date of the reservation change (rebooking) in relation to the travel date of the flight being changed. In the case where the change is made within 7 days (168 hours) from the date and time of the original flight, the rebooking fee will be increased by 10 EUR.<br>For Manual rebookings, please check the ""PENALTY"" and ""ALL"" categories in Fare Rules, and also check if the time interval between the change and the original flight is less than 168 hours.<br>Fare Family reissue features with a change are summarized in the table below:<br>The possibility of reissuing Flex and Family fares also in ComfortFlex is now added, as well as the possibility of reissuing ComfortFlex fares in Flex & Family Fare Family.<br>5.2.a) Light: Change with Light<br>5.2.b) Flex: Change with Flex, Family, ComfortFlex and Business<br>5.2.c) Family: Change with Family, Flex, ComfortFlex and Business<br>5.2.d) Saver: Change with Saver, ComfortFlex and Business<br>5.2.e) ComfortFlex: Change with Saver, Comfort Flex and Business<br>5.2.f) Business Basic: Change with Business Basic<br>5.2.g) Business: Change with Business<br>5.2.h) If the new Base Fare in original local currency is equal with the original Base Fare, then you may proceed with the reissue without rebooking in higher RBD (booking class), even if the equivalent is 1-2 Eur lower (due to rate difference, when we have the same new fare basis & booking class).<br>6. Send PL to customer using one of the products below for the airline fees depending on if pax has flex ticket or not:<br>Attention: Do NOT submit the reissue if you haven't collected the payment from the customer. Meaning that, if the customer did not pay the MOTO payment/Payment Link, then do NOT save any new segments, do not delete old ones, or proceed with the reissue. Just close this window and refresh the PNR by clicking on the record locator.<br>7. If the customer pays, proceed with the following.<br>Form of payment in Farelogix for OA/A3 is always VCC/VAN.<br>You need to create a virtual van in Edvin:<br>7.1) Product - Airline cost, Flexible ticket or Rebooking (splitted PNR). Choose line with correct PNR for your reissue.<br>7.2) Amount - Total cost of reissue, for all pax. Ex. reissue cost is 30EUR per pax and PNR has 3 pax, amount to be added is 90EUR.<br>7.3) Currency - Issuing currency.<br>7.4) Example flexible ticket without fare diff charged.<br>(Manual) means flexible ticket purchased over phone and we can choose either product, it does not matter.<br>7.5) Click on ""Create card"" and a VAN card has now been created for your amount.<br>7.6) Click on ""Show Copy View"" Copy the card number and expiration date.<br>You can use the copy to clipboard button or just mark the numbers and copy.<br>After VAN is created in Edvin, go back to Farelogix and follow the steps for Pricing:<br>7.6.1) Choose the added segments for the new flights.<br>7.6.2) Click on Price, Make sure to choose the validating carrier of the original ticket.<br>7.6.3) Click on ""Selected brand fare"" and choose the same fare as the original ticket.<br>7.6.4) Click continue and then ""store fare"".<br>8. Go to TRANSACTIONS and click on the ticket number.<br>Click on ""Exchange/reissue""<br>Confirm that you have the correct flights chosen and then click on ""Submit"".<br>Click continue.<br>9. Confirm the correct penalty in the penalty box. Change the form of payment to credit card: master card.<br>We can NEVER choose CASH payment for A3/OA. Always VCC,<br>Click on SUBMIT- then continue.<br>10. Exchange is completed until the end in Farelogix. Do not send it to ticketing.<br>Important! Kindly note that all original tickets must be exchanged (if customers request so). The FL agents have to make sure that all original tickets are exchanged (If all passengers have agreed to rebook their flights). Ticket statuses will be: Exchanged & Ticketed.<br>This should be checked before deleting the unwanted segments.<br>11. Once the rebooking is confirmed, proceed with the rest actions in Edvin as per our normal routines as per this Shelf page: Sync Trip button, under customer trip field. <<https://etraveligroup.shelf.io/read/137effd9-d6c1-4024-bb69-1edc493a5a95/?component=draft-page&parentId=76ef6158-fc5b-4e3c-b0a2-aee72cd0fe7d&source=shelf&trigger=back-button&view=draft-app&DTStep=01HYWCTZV4R45BQ0KNS0STMXA8#first-opened-step>><br>If this is not possible, use the old routine: Send email confirmation to customer from Edvin. Use template titled '' External portal booking details '' located under folder First Line-> Other ,and Register an Errand.<br>Docs Ref: Aegean airlines"
how to void|1) Jump to correct PCC on same window: AAApcc name<br>2) Open PNR: *PNR<br>Example:<br>AAA4ZTH<br>*ABCDEF<br>3) Open ticket list for all passengers: *T<br>4) Check if Void is permitted, based on the time of ticket issuance, which is indicated in the time zone of the respective PCC.<br>To check the PCC you are in, use the command W/*pcc<br>Example: W/*56WI<br>56WI E-TRAVEL SA/DE<br>BERLIN, DE<br>You could use T*city 3 letter code (T*ATH) to check and compare the local time both in the issuing PCC and in your timeline.<br>If void is possible:<br>1) Void each ticket with command WVline of the ticket<br>Example: WV2 (where 2 is the line of the ticket)<br>The action must be done twice to confirm it, so please reenter the command you previously used.<br>2) To cancel segments, use the command X segment lines.<br>Example: X1-4<br>Every action should be saved in the end with 6 your signature (initials), and ER.<br>Docs Ref: Sabre GDS Entries
how to refund involuntary reissued ticket|Amadeus involuntary reissued ticket<br>In this example there is no amount after total, instead it says NO ADC which means no additional collect. We now know that there s been no fare difference for this new ticket which indicates an involuntary reissue. It is visible in the bottom of the ticket calculation on the TOTAL amount row.<br>But to be absolutely sure we need to check the remarks and look for an EMD in the PNR. To check, use either RTF or RHFA to locate any possible additional EMD and ticket numbers.<br>For involuntary reissued tickets with no ADC the form of payment (FP line, abbreviated to FOP) is always the same as the original ticket.<br>Refund of involuntary reissued ticket<br>When a ticket is reissued due to involuntary reasons we always try to find seats available in the same class, but if that is not possible the airline might give an authorization to upgrade the ticket.<br>This could mean that the refund rules differ between the original ticket and the reissued one. However since it is not by the choice of the passenger to change the ticket we will always go by the rules of the original ticket in this scenario.<br>Check the rules of the original ticket.<br>Try to access the original ticket from the history in the PNR using RHFA and TWD/TKT055-XXXXXXXX70. If you cannot access the ticket, check the original farebasis with TTH command. More info on how to display the history of active/purged PNR can be found here. << https://etraveligroup.shelf.io/read/aa559017-1c97-4d87-b867-ed17eb30a5dd?parentId=6dc689bb-e384-4c3b-9479-3ea92eeee5e3&view=snippet-view&trigger=title&searchEventId=01GCRJ7RYMTWEGYCBRGAASZA8R&source=shelf >><br>Example on how to retrieve the original ticket issue date.<br>Whenever a ticket in Amadeus is reissued due to a previous Schedule change or Force Majeure without an additional collection, eventually we need to cancel the reservation upon the request according to the fare rules:<br>1) If the usual ways to check the fare rules do not work(FQP flow, backdate pricing, or FQD command), usually that is because the date of issue is incorrect in our command.<br>2) To find the original ticket date, check the FO line inside the new ticket or the date when the original TST was see the difference:<br>After trying FQP flow:<br>Or FQD command:<br>FQDFRADLM/ATK/D14SEP22/R,20AUG22/CJ<br>None of the results is matching us.<br>But once we update the date of issuance:<br>We get the correct farebasis on option 2.<br>Now, we can proceed with retrieving and interpreting the penalty rule.<br>If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
what are the refund rules if the ticket is reissued due to involuntary reasons|Sabre Involuntary reissued ticketd<br>Refund of involuntary reissued ticket<br>When a ticket is reissued due to involuntary reasons we always try to find seats available in the same class, but if that is not possible the airline might give us the authorization to upgrade the ticket. This could mean that the refund rules differ between the original ticket and the reissued one.<br>However, since it is not by the choice of the passenger to change the ticket we will always go by the rules of the original ticket in this scenario.<br>Check the rules of the original ticket.<br>Try to access the original ticket. If you can t access the ticket directly in the PNR you will have to<br>To check the original Price Quote and use the command *PQS and then *PQ1 (if PQ1 is the original fare basis). Once you have the farebasis you can proceed with checking the fare rules. If you retrieve the original ticket number you can also open it with the command WTDB*Txxxx (where xxxx is the original ticket number ).<br>If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
what should be done if the customer does not have an extra charge but wants the original amount for service to be refunded|If you can identify that indeed baggage/seat was not added (no EMD in GDS, no baggage allowance in ticket) and the customer does not have an extra charge-just wants the original amount for service to be refunded<br>DO NOT REDIRECT the customer. You can proceed with ''Modify order'' and '' Ancillary -Voluntary'' reasons choosing the specific product to be refunded.<br>Docs Ref: How to redirect baggage and seating claims
